section025	
0.999769421	8.10E-05
0.999545676	0.000159682
0.999230235	0.000270887
0.998834199	0.000410917
0.998358176	0.000579865
0.99791589	0.000737495
0.997389461	0.000925982
0.996926325	0.001092629
0.996316808	0.00131318
0.995695967	0.001539332
0.995194532	0.001723132
0.994391127	0.002019776
0.993198098	0.002465009
0.991483284	0.003113364
0.990400594	0.003527575
0.988913748	0.004102764
0.986799735	0.004932469
0.98451276	0.005842677
0.981816996	0.006926789
0.978402453	0.008309901
0.975340454	0.009553799
0.970120107	0.011670689
0.963910165	0.014176049
0.958907826	0.016185127
0.952484614	0.018747674
0.946229704	0.021221143
0.93923586	0.023966959
0.927583849	0.028510761
0.914308249	0.033660896
0.900731544	0.038914943
0.884072088	0.045347818
0.869907071	0.050788482
0.849980629	0.058389564
0.83119886	0.065471145
0.807419167	0.074292082
0.785586329	0.082205757
0.759664013	0.091311118
0.727995853	0.101941843
0.695008908	0.112351254
0.66485291	0.121184344
0.636211892	0.128884943
0.597695055	0.138091692
0.542208033	0.148913502
0.50437951	0.154570604
0.467746987	0.158676483
0.419900621	0.161943256
0.366780508	0.162645918
0.309276913	0.159693319
0.271745629	0.155585385
0.230437426	0.148913502
0.183571174	0.138091692
0.153445812	0.128884943
0.132359179	0.121184344
0.111489296	0.112351254
0.090418922	0.101941843
0.076942486	0.094314788
0.058357109	0.082205757
0.040702637	0.068345319
0.026630378	0.054711846
0.018692128	0.045347818
0.010708696	0.033660896
0.005700331	0.023966959
0.001507741	0.011670689
0.000415282	0.005842677
7.69E-05	0.002465009
0.000121053	-0.002819828
0.000435963	-0.005289597
0.001507741	-0.009380388
0.003509592	-0.01312521
0.005700331	-0.015539393
0.009447884	-0.018368435
0.013276807	-0.020476917
0.018692128	-0.022786682
0.024157326	-0.024615028
0.029686329	-0.026108434
0.035138419	-0.027330603
0.043744806	-0.028893129
0.052009364	-0.030076288
0.062083161	-0.031194443
0.069561201	-0.031838956
0.079049866	-0.03247158
0.087275157	-0.032879135
0.095391418	-0.033171981
0.102274879	-0.033345378
0.111489296	-0.033482246
0.124499567	-0.03351364
0.143040275	-0.033284275
0.157355262	-0.032924434
0.17691043	-0.032221894
0.2020121	-0.031029805
0.220729074	-0.029969379
0.245909989	-0.028357903
0.271745629	-0.026527851
0.298865501	-0.02445546
0.33592915	-0.021433425
0.366780508	-0.018796864
0.403754889	-0.015539393
0.447190567	-0.011633216
0.467746987	-0.009774192
0.499528352	-0.006922752
0.527165878	-0.004497777
0.552806632	-0.002321302
0.591950093	0.000808614
0.636211892	0.003999561
0.67387276	0.006371924
0.704070701	0.008016501
0.733517358	0.009368996
0.763619023	0.010469213
0.793202734	0.011229165
0.8104396	0.011512768
0.832659052	0.011671093
0.849980629	0.011629475
0.864640079	0.01146641
0.881426852	0.011120483
0.899349898	0.010538924
0.912760687	0.009942936
0.927583849	0.009084968
0.93923586	0.008236075
0.947165632	0.007557408
0.953709157	0.006926789
0.961266536	0.006109063
0.966781362	0.005448658
0.972021274	0.004768139
0.976769904	0.004102764
0.980609792	0.003527575
0.983140605	0.003128698
0.986336723	0.002601066
0.988913748	0.002154725
0.990696509	0.001832671
0.992264903	0.001539332
0.993198098	0.001360472
0.994391127	0.001127669
0.995512481	0.000905498
0.996228327	0.000762403
0.996719686	0.000663747
0.997136341	0.000579865
0.997626462	0.000480974
0.998123972	0.000380396
0.998607254	0.000282544
0.998912078	0.000220764
0.999213274	0.000159682
0.999450321	0.000111586
0.999656257	6.98E-05
0.999831826	3.41E-05
