section2085										
0.999813198	5.78E-05									
0.999555071	0.000137698									
0.999167674	0.000257653									
0.998698408	0.000403042									
0.998042639	0.000606377									
0.997201916	0.000867371									
0.996450256	0.001101042									
0.995631243	0.001356038									
0.99452918	0.001699848									
0.993343009	0.002070815									
0.991761712	0.002566722									
0.990383784	0.002999856									
0.988107656	0.003716363									
0.98572164	0.004467117									
0.982459344	0.005488791									
0.978802696	0.006622089									
0.975575052	0.007608141									
0.971377101	0.008866223									
0.96687351	0.010183625									
0.961578648	0.011691161									
0.955134226	0.013466889									
0.949503483	0.014966617									
0.943471749	0.016526131									
0.933271955	0.019067174									
0.922727488	0.021572246									
0.911991897	0.024006999									
0.901049064	0.026377824									
0.885985613	0.029465273									
0.869445846	0.03262579									
0.852315766	0.0356452									
0.828960218	0.039321761									
0.808368761	0.042179277									
0.785891228	0.045016598									
0.760710733	0.047980111									
0.741271367	0.050164007									
0.715782472	0.052905316									
0.687603039	0.055756008									
0.664489916	0.057937335									
0.63278397	0.060679352									
0.601914971	0.063060262									
0.579281405	0.064618904									
0.549217989	0.066441955									
0.516409597	0.068099702									
0.485247254	0.069343697									
0.446376297	0.070437198									
0.409878403	0.070984231									
0.383540981	0.071075226									
0.35405898	0.070857231									
0.321396363	0.070196528									
0.289686236	0.06909777									
0.253069415	0.067202932									
0.226444176	0.065354341									
0.200882191	0.063163166									
0.176367669	0.060633294									
0.154154484	0.057937335									
0.136468406	0.055482361									
0.118709551	0.052706966									
0.098701499	0.049156063									
0.081320302	0.045655203									
0.067733453	0.042569773									
0.052024085	0.038509527									
0.037769339	0.034424466									
0.026495401	0.030674487									
0.017321972	0.026377824									
0.012625351	0.023240124									
0.008107436	0.019067174									
0.004928422	0.014966617									
0.00303571	0.011691161									
0.001786609	0.008866223									
0.000718441	0.005488791									
0.000339398	0.003716363									
0.000104251	0.002070815									
1.61E-05	0.000867371									
7.65E-05	-0.00151298									
0.000364956	-0.003143815									
0.000971962	-0.004976212									
0.00231793	-0.00749418									
0.003767153	-0.009389506									
0.005944445	-0.011593202									
0.008635469	-0.013729617									
0.0121265	-0.015854902									
0.017321972	-0.018074537									
0.02212053	-0.019401926									
0.026495401	-0.020200336									
0.032017618	-0.020814761									
0.037110352	-0.021122225									
0.042823886	-0.021294048									
0.050534369	-0.021427275									
0.05905388	-0.021568879									
0.069023284	-0.021713396									
0.077995912	-0.021782222									
0.088509553	-0.021778091									
0.098701499	-0.021711539									
0.114268185	-0.021541469									
0.127803633	-0.02133996									
0.143981501	-0.021035658									
0.168374122	-0.020469792									
0.190677501	-0.019873237									
0.210565184	-0.019294108									
0.228355568	-0.018745646									
0.24505176	-0.01821019									
0.261772996	-0.017658287									
0.283474523	-0.016924791									
0.305978071	-0.016150281									
0.334013917	-0.015174206									
0.368856989	-0.013957366									
0.402075128	-0.012807612									
0.442833945	-0.011430628									
0.482337593	-0.010152547									
0.513339858	-0.00920302									
0.549217989	-0.008179631									
0.583094087	-0.007304866									
0.61415339	-0.006593776									
0.643860949	-0.006004847									
0.66810458	-0.005603649									
0.691038151	-0.005293481									
0.727590311	-0.00495297									
0.755490202	-0.004854367									
0.785891228	-0.00489847									
0.818519529	-0.004972899									
0.845394428	-0.004807904									
0.872748427	-0.004300916									
0.894455201	-0.00369441									
0.916105514	-0.002948235									
0.925678138	-0.002585433									
0.937707044	-0.002112082									
0.943471749	-0.001882441									
0.955134226	-0.001421554									
0.963715805	-0.00109369									
0.969225111	-0.000898349									
0.975575052	-0.000683136									
0.980050438	-0.000536251									
0.982459344	-0.000461861									
0.984905767	-0.000390362									
0.987156259	-0.000327466									
0.98911825	-0.000274147									
0.990911921	-0.00022621									
0.992259732	-0.000190436									
0.993343009	-0.000161691									
0.99471955	-0.000125454									
0.995482071	-0.000105833									
0.9963103	-8.50E-05									
0.996765741	-7.39E-05									
0.997568064	-5.47E-05									
0.998042639	-4.36E-05									
0.998536943	-3.22E-05									
0.998892733	-2.42E-05									
0.999255199	-1.62E-05									
0.99961646	-8.27E-06									
0.999868071	-2.83E-06									
